company_id,company_name,location,company_type,primary_color,secondary_colour
100,Theseus Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
101,Multics Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
102,Asia Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
103,Jacobean Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
104,Yucatan Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
105,Zanzibar Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
106,Melinda Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
107,Barney Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
108,Claus Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
109,Rousseau Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
110,Antonio Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
111,Kowalski Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
112,Hernandez Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
113,Thornton Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
114,Bagley Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
115,Bridgetown Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
116,Artemis Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
117,Paramus Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
118,Kowloon Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
119,Camelot Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
120,Ellison Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
121,Semiramis Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
122,Irvin Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
123,Ferguson Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
124,Honduras Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
125,Uris Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
126,Walden Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
127,Andover Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
128,Champaign Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
129,McDermott Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
130,Brett Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
131,Morley Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
132,Hans Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
133,Gideon Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
134,Typhon Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
135,Tantric Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
136,Choctaw Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
137,Pareto Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
138,Choctaw Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
139,Atropos Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
140,Doreen Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
141,Whipple Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
142,Jason Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
143,Oxnard Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
144,Burgundy Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
145,Signor Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
146,Holbrook Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
147,Himalaya Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
148,Vreeland Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
149,Morrison Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
150,Bernoulli Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
151,Nassau Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
152,Polk Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
153,Gallup Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
154,Manville Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
155,Moslem Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
156,Damon Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
157,Jessica Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
158,Wilma Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
159,Roman Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
160,Moses Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
161,Aeschylus Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
162,Jan Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
163,Sims Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
164,Bernice Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
165,Barbara Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
166,Pompeii Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
167,Moluccas Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
168,Jewett Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
169,Bobbie Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
170,Humboldt Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
171,Tantalus Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
172,Beowulf Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
173,Dominique Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
174,Philippine Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
175,Weierstrass Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
176,Dirichlet Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
177,Pleiades Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
178,Newtonian Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
179,Batavia Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
180,Dooley Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
181,Mobil Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
182,Madame Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
183,USA Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
184,Zachary Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
185,Sheehan Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
186,Fernando Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
187,Emilio Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
188,Baptist Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
189,Darwin Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
190,Dodd Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
191,Betsey Hospital,PL|Poland,HealthCare,#FFA07A,#E9967A
192,Pfizer Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
193,Oligocene Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
194,Mauritania Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
195,Norma Hospital,RU|Russian Federation,HealthCare,#FFA07A,#E9967A
196,Triassic Hospital,SA|Saudi Arabia,HealthCare,#FFA07A,#E9967A
197,Paulette Hospital,PA|Panama,HealthCare,#FFA07A,#E9967A
198,Cesare Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
199,Nazism Hospital,SG|Singapore,HealthCare,#FFA07A,#E9967A
