company_id,company_name,location,company_type,primary_color,secondary_colour
300,Calder Store,PL|Poland,RetailStores,#87CEFA,#4682B4
301,Kabul Store,PL|Poland,RetailStores,#87CEFA,#4682B4
302,Liverpudlian Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
303,Sylvania Store,PA|Panama,RetailStores,#87CEFA,#4682B4
304,IR Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
305,Winnetka Store,PA|Panama,RetailStores,#87CEFA,#4682B4
306,Whitney Store,PA|Panama,RetailStores,#87CEFA,#4682B4
307,Sam Store,PA|Panama,RetailStores,#87CEFA,#4682B4
308,Susanne Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
309,Gil Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
310,Dionysus Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
311,Prague Store,PA|Panama,RetailStores,#87CEFA,#4682B4
312,Iran Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
313,Wyandotte Store,PL|Poland,RetailStores,#87CEFA,#4682B4
314,Weller Store,PL|Poland,RetailStores,#87CEFA,#4682B4
315,Holmes Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
316,Barry Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
317,Ainu Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
318,Woodbury Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
319,Versailles Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
320,Cincinnati Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
321,Geigy Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
322,Nostrand Store,PA|Panama,RetailStores,#87CEFA,#4682B4
323,Israelite Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
324,Judy Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
325,Harvey Store,PA|Panama,RetailStores,#87CEFA,#4682B4
326,Gavin Store,PL|Poland,RetailStores,#87CEFA,#4682B4
327,AAAS Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
328,Albright Store,PA|Panama,RetailStores,#87CEFA,#4682B4
329,Bradford Store,PL|Poland,RetailStores,#87CEFA,#4682B4
330,Ceylon Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
331,Raphael Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
332,Gretchen Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
333,Lola Store,PA|Panama,RetailStores,#87CEFA,#4682B4
334,Malay Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
335,Colgate Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
336,Ella Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
337,Fulbright Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
338,Amadeus Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
339,Ernie Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
340,Lombard Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
341,Mayfair Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
342,Coors Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
343,Victoria Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
344,Pfizer Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
345,McConnel Store,PA|Panama,RetailStores,#87CEFA,#4682B4
346,Billie Store,PA|Panama,RetailStores,#87CEFA,#4682B4
347,Potts Store,SA|Saudi Arabia,RetailStores,#87CEFA,#4682B4
348,Walpole Store,SG|Singapore,RetailStores,#87CEFA,#4682B4
349,Moulton Store,PL|Poland,RetailStores,#87CEFA,#4682B4
350,Bingham Store,RU|Russian Federation,RetailStores,#87CEFA,#4682B4
351,Hummel Store,PL|Poland,RetailStores,#87CEFA,#4682B4
